epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7957,1.80975,2.69587,1.16269,0.01408,0.9883,0.70248,0.41675,1.39973,3.3739,0.97471,0.0919,0.0009,0.0009
2,121.869,1.35837,1.10862,0.95007,0,0,0,0,1.39471,3.98503,1.00374,0.0828624,0.00186238,0.00186238
3,180.045,1.26541,0.9328,0.94292,0.75641,0.34503,0.54464,0.31515,1.43121,3.78361,1.05788,0.0737852,0.00278516,0.00278516
4,239.071,1.18802,0.831,0.94353,0.20557,0.5614,0.41597,0.26613,1.47355,3.26025,1.04287,0.0646683,0.00366834,0.00366834
5,299.475,1.17343,0.82068,0.94354,0.00202,0.0117,0.00063,0.00012,5.46094,24.1078,14.5876,0.0555119,0.00451192,0.00451192
6,360.462,1.13589,0.76961,0.93394,0,0,0,0,6.76546,257.375,55.3159,0.0463159,0.0053159,0.0053159
7,420.101,1.12548,0.75331,0.91579,0,0,0,0,6.75914,2038.4,97.2244,0.0370803,0.00608028,0.00608028
8,481.247,1.15857,0.74994,0.90875,0,0,0,0,6.79923,133.926,57.1745,0.0278051,0.00680506,0.00680506
9,541.312,1.04371,0.6683,0.91012,0.00744,0.09942,0.00415,0.00226,2.81989,4.90094,1.72985,0.0184902,0.00749024,0.00749024
10,601.945,1.11953,0.70181,0.89293,0.71508,0.74854,0.7467,0.47333,1.44589,2.89496,0.98325,0.00913582,0.00813582,0.00813582
11,662.094,1.08593,0.68383,0.89688,0.85527,0.65661,0.83112,0.53432,1.35067,1.7171,0.95071,0.00802,0.00802,0.00802
12,723.992,1.10297,0.6475,0.90187,0.50185,0.79532,0.71245,0.47918,1.21455,2.40377,0.92086,0.007822,0.007822,0.007822
13,784.466,1.10714,0.66012,0.8988,0.37179,0.67836,0.60601,0.43094,1.18615,2.90289,0.90442,0.007624,0.007624,0.007624
14,844.902,1.03402,0.64368,0.90301,0.78891,0.59012,0.7494,0.48216,1.19892,1.87651,0.90075,0.007426,0.007426,0.007426
15,904.971,1.04312,0.62937,0.89072,0.74344,0.72867,0.8334,0.56622,1.08456,1.48456,0.88867,0.007228,0.007228,0.007228
